instrument_token,exchange_token,tradingsymbol,name,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,buy/sell
14801922,57820,BANKNIFTY23FEB39600PE,BANKNIFTY,2023-02-23,39600.0,0.05,25,PE,NFO-OPT,NFO,buy
14804482,57830,BANKNIFTY23FEB40100PE,BANKNIFTY,2023-02-23,40100.0,0.05,25,PE,NFO-OPT,NFO,sell
14814466,57869,BANKNIFTY23FEB42100CE,BANKNIFTY,2023-02-23,42100.0,0.05,25,CE,NFO-OPT,NFO,sell
14817026,57879,BANKNIFTY23FEB42600CE,BANKNIFTY,2023-02-23,42600.0,0.05,25,CE,NFO-OPT,NFO,buy
